	element	sub_ids	regions	elm_type	stroke	freq2	count2	dep2
8235	𠀚	⿱𠫔𡭔	T		6	0.0	0	('𠀚', '𮈷', '𮈷')
8236	𠀚	⿱𠫔⿲㇒丨丶	G		6	0.0	0	('𠀚', '𮈷', '𮈷')
8237	𠀘	⿱兀兀	GT		6	0.0	0	('𠀘', '𡽷', '𣆧')
8238	阩	⿰阝升	GTP		6	0.0	0	('阩', '𨹱')
8239	阥	⿰阝水	GTJPV		6	0.0	0	('阥', '𪫽')
8240	芕	⿱艹夕	GT		6	0.0	0	('芕', '𡝅')
8241	芆	⿱艹义	T		6	0.0	0	('芆', '𬂵', '𬫗')
8242	𠫘	⿱厶十	G		4	0.0	0	('𠫘', '圗', '𡈄', '𢿮', '𥄜', '𦧐')
8243	𠫗	⿻⿻丿㇈厶	T		4	0.0	0	('𠫗', '𣛾')
8244	屲	⿱㇒山	G		4	0.0	0	('屲', '𰀵')
8245	匁	⿻{34}乀	X		4	0.0	0	('匁', '𠇢', '𢜓', '𢪤', '𥐷', '𥸼', '𮈅', '𮈅')
8246	𠃤	⿱{71}𫶧	GT		6	0.0	0	('𠃤', '𫟎', '𡡄', '𣋯')
8247	𠂨	⿱㇒冊	T		6	0.0	0	('𠂨', '𦐷')
8248	𠨬	⿸厂匕	GT		4	0.0	0	('𠨬', '𢪦')
8249	𠨐	⿰匕卩	T		4	0.0	0	('𠨐', '皍')
8250	𠨎	⿰㔾㔾	GT		4	0.0	0	('𠨎', '𠨕')
8251	𠥻	𠥻	GT		4	0.0	0	('𠥻',)
8252	𠤭	⿷匚人	T		4	0.0	0	('𠤭', '𥮹')
8253	𠚫	⿰又刂	T		4	0.0	0	('𠚫', '𡙨')
8254	𠙸	⿶凵厶	GT		4	0.0	0	('𠙸', '𡉸', '𨥣', '𣋧', '𣋧')
8255	𠙷	⿶凵十	GT		4	0.0	0	('𠙷', '𦮍', '𨑿')
8256	𠘯	⿻几厶	T		4	0.0	0	('𠘯', '𣝥')
8257	𠘯	⿻𠘨厶	G		4	0.0	0	('𠘯', '𣝥')
8258	𠘭	⿱厶几	T		4	0.0	0	('𠘭', '𨥡', '𱆨')
8259	𠘬	⿰几几	T		4	0.0	0	('𠘬', '𠘲', '𠦐', '𠫠', '𡵷', '𡵹', '𤘷', '𨒁', '𨼘', '𱻗')
8260	𠕀	⿵冂又	G		4	0.0	0	('𠕀', '𠬦', '𡉮', '𡋪', '𢁶', '𣏷', '𣠴', '𤆳', '𤱆', '𥄞', '𥐼', '𥗰', '𦊌', '𦊗', '𦋌', '𦋢', '𦋢', '𦌄', '𦕋', '𦬣')
8261	𱻱	⿱⿱㇒{5}𦓐	X		11	0.0	0	('𱻱', '𥡼')
8262	𠂂	𠂂	GT		6	0.0	0	('𠂂', '𣴁', '𧒟')
8263	𠁦	⿸中𠄠	GT		6	0.0	0	('𠁦', '𠁩')
8264	𱷥	⿱立兆	V		11	0.0	0	('𱷥', '𱸢')
8265	𱰋	⿰米瓦	G		11	0.0	0	('𱰋', '𪅒')
8266	𱮇	⿰犭𧈧	S		11	0.0	0	('𱮇', '𤠧')
8267	𱫌	⿱{121}火	T		11	0.0	0	('𱫌', '𱨖', '𱬇')
8268	𱥗	⿰孛殳	K		11	0.0	0	('𱥗', '𢟥')
8269	𱡘	⿰来攵	B		11	0.0	0	('𱡘', '𰚰')
