𠙷	⿶凵十	凵十
𠙸	⿶凵厶	凵𠃋丶
𠚪	⿰刀刀	刀刀
𠚫	⿰又刂	又刂
𠠴	⿰力力	力力
𠤭	⿷匚人	匚人
𠥻	𠥻	𠥻
𠨎	⿰㔾㔾	㔾㔾
𠨐	⿰匕卩	匕卩
𠨬	⿸厂匕	厂匕
𠫗	⿵𠘨厶	𠘨𠃋丶
𠫗	⿻⿻丿㇈厶	𠘨𠃋丶
𠫘	⿱厶十	𠃋丶十
𠬚	⿱九又	九又
𠬛	⿱刀又	刀又
𠬜	⿰又⿻𠃊乚	又𠃊乚
𠬞	⿰𠂈又	𠄌丿又
𠬠	⿱丷又	丷又
𠮚	⿴囗丶	囗丶
𡈽	⿺土丶	十一丶
𡗒	𡗒	𡗒
𡗓	⿱大一	大一
𡗜	⿻大丷	大丷
𡴯	⿱山乙	凵丨乙
𡿧	⿻巛一	𡿨𡿨𡿨一
𢀳	⿻巳一	巳一
𢆯	⿱幺丨	幺丨
𢆰	⿱一幺	一幺
𢎜	𢎜	𢎜
𢎟	⿻弓丨	弓丨
𣁬	⿻{50}十	{50}十
𣂑	⿸𠂆十	𠂆十
𣎳	⿻十儿	十儿
𣎳	⿻十⿰丿㇄	十儿
𣎴	⿻丅𠆢	一丨𠆢
𣦵	⿱⺊𠔼	⺊冂一
𣦶	𣦶	𣦶
𣫬	𣫬	𣫬
𣬛	⿻⿱㇒二乚	㇒二乚
𣱳	⿱一水	一㇇亅{24}
𤓯	⿻丅八	一丨八
𤓰	⊖瓜丶	𤓰
𤣥	⿱亠{27}	丶一{27}
𤣥	⊖玄丶	丶一{27}
𥘅	⿻丅⿰丿㇄	一丨丿㇄
𥘅	⿱一⿲丿丨㇄	一丨丿㇄
𥘅	⿻丅儿	一丨丿㇄
𥘅	⿱一𫶧	一丨丿㇄
𪟽	⿱⺊了	⺊了
𫜵	⿴𰀪⺀	𰀪⺀
𫡅	⿰丩丩	丩丩
𬺷	⊖𬺻㇒	𬺷
𬺹	⿻{50}𠄠	{50}𠄠
𬼆	⿱乄乄	乄乄
𬼆	⿱㐅㐅	乄乄
𬽢	⿰亻㔾	㇒丨㔾
𭀗	⿻𠃔丶	𠄌丿乚丶
𭂩	⿵𠘨十	𠘨十
𭂫	⿵凢丶	㇒几丶
𭃄	⿰十刀	十刀
𭄞	⿱𠆢力	𠆢力
𭅄	⿹勹又	㇒𠃌又
𭅠	⿱十几	十几
𭣔	⿺支丶	十又丶
𭺫	⊖耳一	𭺫
𰁒	⿰了了	了了
𰅭	⿱八十	八十
𰋵	⿺女丶	女丶
𰍰	⿸尸一	尸一
𱤻	↔止	↔⺊一丨
𲋄	⿻𠘨二	𠘨二
白	⿱㇒日	㇒日
目	⿴囗𠄠	目
禾	⿱㇒木	㇒十𠆢
尔	⿱⿰㇒乛小	㇒乛小
尓	⿱𠂉小	㇒一小
田	⿴囗十	田
𤴓	⿱一龰	一人⺊
可	⿹丁口	一亅口
去	⿱土厶	十一𠃋丶
生	⿰㇒龶	㇒十一一
生	⿻𠂉土	㇒十一一
示	⿱二小	二小
示	⿱二𡭔	二小
业	⿱⿻⿰丨丨丷一	丨丨丷一
立	⿱亠䒑	丶一丷一
立	⿱丶𰀆	丶一丷一
正	⿱一止	一⺊一丨
玉	⿻王丶	一十一丶
甘	⿴廿一	一丨丨一一
左	⿸𠂇工	𠂇一丨一
出	⿱屮凵	凵丨凵
他	⿰亻也	㇒丨乜丨
本	⿻木一	十𠆢一
主	⿱丶王	丶一十一
主	⿱亠土	丶一十一
尼	⿸尸匕	尸匕
旦	⿱日一	日一
未	⿻一木	一十𠆢
矢	⿱𠂉大	㇒一大
矢	⿰㇒天	㇒一大
且	⿴𠀃𠄠	且
占	⿱⺊口	⺊口
乍	⿸⿱𠂉丨二	㇒一丨二
石	⿸丆口	一丿口
冋	⿵冂口	冂口
用	⿵⺆𰀁	⺆𰀁
加	⿰力口	力口
龷	⿱卄一	一丨丨一
由	⿻日丨	日丨
戊	⿰丿戈	丿𫠠㇒丶
{18}	{即左}	{18}
台	⿱厶口	𠃋丶口
宂	⿱宀几	丶冖几
宂	⿱宀儿	丶冖几
穴	⿱宀八	丶冖八
古	⿱十口	十口
癶	⿰{101}{102}	{101}{102}
𰃮	⿱𭕄冖	丶丶㇒冖
衤	⿱𪜊𰀠	𪜊丨{24}
衤	⿷礻㇒	𪜊丨{24}
𦓐	⿱㇒𦉫	㇒冂丨丨
罒	⿴囗⿰丨丨	囗丨丨
申	⿻日丨	申
皿	⿴𠀃⿰丨丨	冂一丨丨
市	⿱亠巾	丶一冂丨
令	⿱⿵𠆢丶龴	𠆢丶乛丶
令	⿱{88}龴	𠆢丶乛丶
令	⿱{88}𰆊	𠆢丶乛丶
民	民	民
皮	⿻{84}⿱丨又	{84}丨又
圥	⿱土儿	十一儿
只	⿱口八	口八
𫩑	⿱丆囗	一丿囗
疒	⿰冫广	冫丶厂
代	⿰亻弋	㇒丨𫠠丶
四	⿴囗⿰丿㇄	囗丿㇄
四	⿴囗儿	囗丿㇄
北	⿰{45}匕	{45}匕
龸	⿱⺌冖	⺌冖
冉	⿻冂土	冂十一
外	⿰夕卜	丿㇇丶卜
